订单号,顾客ID,订单时间,付款金额,商品ID,商品描述
e481f51cbdc54678b7cc49136f2d6af7,9ef432eb6251297304e76186b10a928d,2017/10/2 10:56,18.12,87285b34884572647811a353c7ac498a,housewares
e481f51cbdc54678b7cc49136f2d6af7,9ef432eb6251297304e76186b10a928d,2017/10/2 10:56,2,87285b34884572647811a353c7ac498a,housewares
e481f51cbdc54678b7cc49136f2d6af7,9ef432eb6251297304e76186b10a928d,2017/10/2 10:56,18.59,87285b34884572647811a353c7ac498a,housewares
128e10d95713541c87cd1a2e48201934,a20e8105f23924cd00833fd87daa0831,2017/8/15 18:29,37.77,87285b34884572647811a353c7ac498a,housewares
,26c7ac168e1433912a51b924fbd34d34,,37.77,,housewares
bfc39df4f36c3693ff3b63fcbea9e90a,53904ddbea91e1e92b2b3f1d09a7af86,2017/10/23 23:26,44.09,87285b34884572647811a353c7ac498a,housewares
6ea2f835b4556291ffdc53fa0b3b95e8,c7340080e394356141681bd4c9b8fe31,2017/11/24 21:27,356.12,be021417a6acb56b9b50d3fd2714baa8,housewares
82bce245b1c9148f8d19a55b9ff70644,388025bec8128ff20ec1a316ed4dcf02,2017/4/20 17:15,267.8,a5a0e71a81ae65aa335e71c06261e260,housewares
82bce245b1c9148f8d19a55b9ff70644,388025bec8128ff20ec1a316ed4dcf02,2017/4/20 17:15,,a5a0e71a81ae65aa335e71c06261e260,housewares
82bce245b1c9148f8d19a55b9ff70644,388025bec8128ff20ec1a316ed4dcf02,2017/4/20 17:15,267.8,a5a0e71a81ae65aa335e71c06261e260,housewares
82bce245b1c9148f8d19a55b9ff70644,,2017/4/20 17:15,267.8,a5a0e71a81ae65aa335e71c06261e260,housewares
82bce245b1c9148f8d19a55b9ff70644,388025bec8128ff20ec1a316ed4dcf02,2017/4/20 17:15,267.8,a5a0e71a81ae65aa335e71c06261e260,housewares
6ded11f0a307eed2ae0931fe59f4c599,96acf11f5c1d5f2ddba8bedc04d41d3c,2017/5/22 15:15,54.11,a5a0e71a81ae65aa335e71c06261e260,housewares
d2ce7421730f81ac57551e623ed3522d,873967bfecc663740e5d43930cc64b7b,2017/4/25 16:48,53.11,a5a0e71a81ae65aa335e71c06261e260,housewares
badcf619a4531116e06f0f2f6f711215,f77c7eef15674a5fd3d3c13553ca803e,2017/5/8 8:53,131.23,a5a0e71a81ae65aa335e71c06261e260,housewares
dc8155452b97affece4c5a698beb11f6,fc8da044983142c6a87d308b2cbfb76f,2017/6/22 1:20,53.63,a5a0e71a81ae65aa335e71c06261e260,housewares
e3447938231fb6ba2fee0231b51eca59,2c3642e1392097fb4af76a76fec16a46,,172.14,97f1396a5a1f7c07ba51784efdec44b8,housewares
7f0cd5312c451eb0b746d9e0617e57f9,d6c5e3efecf1ebb34d1b7665db05de3c,2018/4/26 14:04,162.03,97f1396a5a1f7c07ba51784efdec44b8,housewares
d14319b7a9ffe116c1ba706238d3cd27,e93a01a8ad2d943db17fa596e51d93cc,2018/6/29 10:58,183.92,97f1396a5a1f7c07ba51784efdec44b8,housewares
711446e2cbe250789dc7b3ecdfce793c,61dfb2ae9399454cb12545524d192978,2018/7/4 21:03,150,97f1396a5a1f7c07ba51784efdec44b8,housewares
711446e2cbe250789dc7b3ecdfce793c,61dfb2ae9399454cb12545524d192978,2018/7/4 21:03,37.89,97f1396a5a1f7c07ba51784efdec44b8,
c45686ed86426af3f7be41420b6020ea,667b5b2ec3ffc38456c616b28951e49c,2018/5/6 21:49,162.55,97f1396a5a1f7c07ba51784efdec44b8,housewares
67ff89e045f61cd73790e9866d3dc6ea,68747ad98d585dd1ae34309d02338c2d,2018/4/26 13:51,150.6,97f1396a5a1f7c07ba51784efdec44b8,housewares
c49be9a11fd13933307cc6a19b03a895,a972623b3481cbfd95fa776b0067e554,2018/5/15 18:54,928.68,97f1396a5a1f7c07ba51784efdec44b8,housewares